year,sex,name,n,prop,first_letter,first_is_vowel
1944,F,Annetta,126,9.22E-05,A,TRUE
1899,F,Hassie,16,6.47E-05,H,FALSE
1960,F,Trenice,7,3.37E-06,T,FALSE
1996,M,Damiean,7,3.49E-06,D,FALSE
1995,F,Aneri,6,3.12E-06,A,TRUE
1937,M,Robbin,5,4.57E-06,R,FALSE
2009,F,Magdeline,8,3.95E-06,M,FALSE
2009,F,Rosaura,9,4.45E-06,R,FALSE
1981,F,Andrica,5,2.80E-06,A,TRUE
1976,F,Masha,12,7.63E-06,M,FALSE
2016,M,Pippin,5,2.48E-06,P,FALSE
2016,M,Nikodem,14,6.94E-06,N,FALSE
2009,M,Berlin,5,2.36E-06,B,FALSE
1977,F,Yael,55,3.34E-05,Y,FALSE
2012,M,Beckhem,6,2.96E-06,B,FALSE
2004,F,Kaliska,7,3.47E-06,K,FALSE
1989,F,Amelia,1265,0.00063508,A,TRUE
1907,M,Walker,22,0.00013873,W,FALSE
1947,M,Almond,9,4.85E-06,A,TRUE
2011,M,Vitaly,5,2.46E-06,V,FALSE
1943,F,Lorrie,40,2.79E-05,L,FALSE
1978,F,Irina,6,3.65E-06,I,TRUE
2010,F,Amaurie,7,3.57E-06,A,TRUE
1930,M,Anatole,7,6.20E-06,A,TRUE
1905,M,Nicholas,112,0.00078192,N,FALSE
2010,F,Lisbeth,85,4.34E-05,L,FALSE
2008,M,Cade,1074,0.00049301,C,FALSE
2011,F,Vrinda,12,6.20E-06,V,FALSE
2001,M,Malak,5,2.42E-06,M,FALSE
1909,F,Consuelo,30,8.15E-05,C,FALSE
2005,F,Yasamin,7,3.45E-06,Y,FALSE
2013,M,Cheyton,9,4.46E-06,C,FALSE
1947,M,Darby,15,8.08E-06,D,FALSE
1995,F,Mariacristina,5,2.60E-06,M,FALSE
2002,F,Ayah,127,6.43E-05,A,TRUE
1986,M,Evander,8,4.16E-06,E,TRUE
1976,M,Jhon,15,9.18E-06,J,FALSE
1988,F,Marykathleen,6,3.12E-06,M,FALSE
1966,M,Orlanda,12,6.60E-06,O,TRUE
1972,M,Yvon,5,2.99E-06,Y,FALSE
1949,M,Mason,94,5.22E-05,M,FALSE
1993,M,Natan,13,6.30E-06,N,FALSE
1943,M,Medford,11,7.56E-06,M,FALSE
1915,F,Katrine,11,1.07E-05,K,FALSE
1910,F,Pecola,8,1.91E-05,P,FALSE
2010,M,Calahan,9,4.39E-06,C,FALSE
1966,M,Erice,7,3.85E-06,E,TRUE
1930,F,Reyna,6,5.14E-06,R,FALSE
1998,M,Macguire,5,2.47E-06,M,FALSE
1997,M,Jerek,15,7.51E-06,J,FALSE
1933,F,Francella,8,7.65E-06,F,FALSE
1954,F,Lanny,5,2.51E-06,L,FALSE
1996,M,Silvester,8,3.99E-06,S,FALSE
1938,M,Edith,10,8.80E-06,E,TRUE
1968,F,Josephine,694,0.00040596,J,FALSE
2005,F,Sahiba,7,3.45E-06,S,FALSE
2015,M,Abdelrahman,26,1.28E-05,A,TRUE
1989,F,Daizy,7,3.51E-06,D,FALSE
1952,F,Marijean,9,4.73E-06,M,FALSE
2017,M,Kosta,16,8.15E-06,K,FALSE
2012,M,Kieran,468,0.00023101,K,FALSE
1994,M,Claiborne,13,6.38E-06,C,FALSE
1984,M,Kristopher,1983,0.00105691,K,FALSE
1931,F,Richard,151,0.00013682,R,FALSE
1980,F,Charlita,7,3.93E-06,C,FALSE
2007,F,Amilah,7,3.31E-06,A,TRUE
1910,M,Guss,12,5.76E-05,G,FALSE
1990,M,Korie,24,1.12E-05,K,FALSE
1993,F,Shernell,5,2.54E-06,S,FALSE
2004,M,Demetrio,55,2.60E-05,D,FALSE
1994,M,Davidmichael,9,4.42E-06,D,FALSE
1905,M,Tomas,18,0.00012566,T,FALSE
1982,F,Andreya,11,6.06E-06,A,TRUE
1975,M,Bari,5,3.08E-06,B,FALSE
1994,F,Mesa,13,6.67E-06,M,FALSE
1948,M,Vertis,16,8.98E-06,V,FALSE
2012,M,Randle,7,3.46E-06,R,FALSE
1976,M,Doyle,118,7.23E-05,D,FALSE
1958,F,Debro,5,2.42E-06,D,FALSE
1923,M,Elie,30,2.65E-05,E,TRUE
1961,F,Shonna,37,1.78E-05,S,FALSE
1970,F,Maryjo,125,6.82E-05,M,FALSE
2014,F,Promisse,7,3.59E-06,P,FALSE
2012,M,Bejamin,5,2.47E-06,B,FALSE
1899,F,Sofia,10,4.04E-05,S,FALSE
1999,F,Everlyn,11,5.65E-06,E,TRUE
2009,F,Breonna,147,7.27E-05,B,FALSE
1926,M,Lorie,7,6.11E-06,L,FALSE
1997,M,Cal,93,4.66E-05,C,FALSE
1958,M,Leland,460,0.00021365,L,FALSE
1887,M,Rome,5,4.57E-05,R,FALSE
1938,F,Olar,7,6.13E-06,O,TRUE
1920,M,Dewayne,48,4.36E-05,D,FALSE
1920,F,Olivia,523,0.0004204,O,TRUE
1975,F,Jacqualyn,8,5.13E-06,J,FALSE
2015,M,Cartel,11,5.40E-06,C,FALSE
2015,F,Alicyn,6,3.08E-06,A,TRUE
1970,M,Rahman,15,7.87E-06,R,FALSE
1951,F,Valri,5,2.71E-06,V,FALSE
1912,F,Etter,11,1.88E-05,E,TRUE
1925,M,Lamar,237,0.00020583,L,FALSE
1981,M,Tavius,9,4.83E-06,T,FALSE
1996,M,Adriano,40,2.00E-05,A,TRUE
1990,M,Marcus,5299,0.00246332,M,FALSE
1985,F,Karrin,9,4.88E-06,K,FALSE
1942,M,Alfonza,19,1.35E-05,A,TRUE
1987,F,Ora,22,1.17E-05,O,TRUE
2016,M,Chaze,8,3.96E-06,C,FALSE
1919,M,Thurlow,17,1.67E-05,T,FALSE
1974,F,Danylle,5,3.19E-06,D,FALSE
1962,M,Sedrick,23,1.09E-05,S,FALSE
1938,M,Rollan,5,4.40E-06,R,FALSE
1970,M,Gilmer,6,3.15E-06,G,FALSE
1912,F,Evalyne,7,1.19E-05,E,TRUE
1966,F,Kele,5,2.85E-06,K,FALSE
1999,M,Tyone,6,2.94E-06,T,FALSE
1916,M,Matty,8,8.66E-06,M,FALSE
1985,M,Kristain,5,2.60E-06,K,FALSE
1957,M,Frederik,6,2.74E-06,F,FALSE
1956,M,Tonny,10,4.66E-06,T,FALSE
1968,M,Ardell,6,3.38E-06,A,TRUE
2017,M,Kashif,9,4.58E-06,K,FALSE
1924,F,Roxanna,21,1.62E-05,R,FALSE
2008,F,Serinity,64,3.08E-05,S,FALSE
1933,M,Manly,9,8.82E-06,M,FALSE
1912,M,Charley,288,0.00063793,C,FALSE
1989,F,Tamara,1485,0.00074552,T,FALSE
1986,M,Nikolaos,34,1.77E-05,N,FALSE
1989,F,Melena,13,6.53E-06,M,FALSE
2007,F,Nialani,7,3.31E-06,N,FALSE
1996,M,Jessen,5,2.50E-06,J,FALSE
2002,M,Hasani,29,1.40E-05,H,FALSE
2012,F,Brynlea,12,6.20E-06,B,FALSE
2000,M,Barnabas,10,4.79E-06,B,FALSE
2009,M,Presten,39,1.84E-05,P,FALSE
1952,M,Rufino,17,8.61E-06,R,FALSE
2004,F,Rachel,6914,0.00342857,R,FALSE
1905,F,Orvilla,6,1.94E-05,O,TRUE
1973,F,Timiko,7,4.50E-06,T,FALSE
1984,F,Shonda,146,8.10E-05,S,FALSE
1991,M,Derron,34,1.60E-05,D,FALSE
2004,F,Topacio,7,3.47E-06,T,FALSE
1984,F,Kellina,7,3.88E-06,K,FALSE
2014,M,Ashwath,14,6.85E-06,A,TRUE
1937,M,Noble,84,7.68E-05,N,FALSE
1980,F,Romelia,22,1.24E-05,R,FALSE
1989,F,Carolina,792,0.00039761,C,FALSE
2009,F,Alyne,7,3.46E-06,A,TRUE
2008,M,Joni,14,6.43E-06,J,FALSE
1955,M,Leith,8,3.83E-06,L,FALSE
1926,M,Clive,26,2.27E-05,C,FALSE
1942,F,Marta,88,6.33E-05,M,FALSE
2004,F,Marelyn,19,9.42E-06,M,FALSE
1951,F,Marvin,15,8.12E-06,M,FALSE
2014,M,Jacson,7,3.42E-06,J,FALSE
2005,F,Jaleigha,14,6.90E-06,J,FALSE
2002,M,Eliseo,171,8.28E-05,E,TRUE
1965,F,Lorie,1030,0.00056365,L,FALSE
1984,F,Krisan,5,2.77E-06,K,FALSE
1946,F,Annita,31,1.92E-05,A,TRUE
1883,M,Virgil,70,0.00062235,V,FALSE
2014,F,Marypaz,8,4.10E-06,M,FALSE
1958,F,Zada,10,4.84E-06,Z,FALSE
1991,M,Christophor,6,2.83E-06,C,FALSE
2010,F,Aarna,93,4.75E-05,A,TRUE
1998,F,Daralyn,5,2.58E-06,D,FALSE
1962,F,Karie,88,4.34E-05,K,FALSE
1951,F,Judeth,6,3.25E-06,J,FALSE
2014,F,Paulett,5,2.56E-06,P,FALSE
2003,F,Hodan,5,2.49E-06,H,FALSE
1904,M,Meredith,8,5.78E-05,M,FALSE
2008,F,Jamarah,5,2.40E-06,J,FALSE
1976,M,Geramie,5,3.06E-06,G,FALSE
1976,F,Delores,162,0.00010306,D,FALSE
1987,M,Rei,5,2.56E-06,R,FALSE
1934,F,Annia,5,4.62E-06,A,TRUE
1958,M,Cevin,6,2.79E-06,C,FALSE
2014,F,Rmoni,9,4.61E-06,R,FALSE
1987,F,Kyla,480,0.00025616,K,FALSE
2005,F,Maithili,5,2.47E-06,M,FALSE
2000,M,Sher,5,2.40E-06,S,FALSE
2013,M,Jacayden,10,4.96E-06,J,FALSE
2014,M,Jenry,5,2.45E-06,J,FALSE
2013,F,Jazyriah,5,2.60E-06,J,FALSE
1988,M,Yovani,11,5.50E-06,Y,FALSE
1931,F,Glenys,12,1.09E-05,G,FALSE
1990,F,Quinesha,22,1.07E-05,Q,FALSE
1978,M,Magdaleno,9,5.27E-06,M,FALSE
1987,M,Artur,9,4.62E-06,A,TRUE
1991,F,Samuel,27,1.33E-05,S,FALSE
1897,M,Alexander,172,0.00141051,A,TRUE
1919,M,Cooper,23,2.27E-05,C,FALSE
2001,F,Teana,31,1.57E-05,T,FALSE
1963,F,Pearline,57,2.87E-05,P,FALSE
2012,F,Iqra,54,2.79E-05,I,TRUE
2001,F,Darrica,6,3.03E-06,D,FALSE
1934,M,Bynum,8,7.53E-06,B,FALSE
1920,M,Hall,16,1.45E-05,H,FALSE
2002,M,Tristan,3724,0.00180293,T,FALSE
2006,M,Yao,7,3.20E-06,Y,FALSE
1958,F,Mi,6,2.91E-06,M,FALSE
1912,F,Leonia,23,3.92E-05,L,FALSE
2015,F,Gizel,9,4.63E-06,G,FALSE
1979,M,Kay,8,4.46E-06,K,FALSE
1985,M,Karlos,27,1.40E-05,K,FALSE
2005,M,Amancio,5,2.35E-06,A,TRUE
1965,F,Kimberlei,5,2.74E-06,K,FALSE
2004,F,Oren,6,2.98E-06,O,TRUE
1983,F,Unknown,12,6.71E-06,U,TRUE
1977,M,Terran,20,1.17E-05,T,FALSE
1918,M,Eldrige,5,4.77E-06,E,TRUE
1945,M,Rondell,10,7.29E-06,R,FALSE
1961,F,Miroslava,10,4.82E-06,M,FALSE
1993,F,Brian,44,2.23E-05,B,FALSE
2012,F,Merola,5,2.58E-06,M,FALSE
1984,F,Zakiyyah,31,1.72E-05,Z,FALSE
1923,M,Eluterio,10,8.83E-06,E,TRUE
1927,M,Carlin,12,1.03E-05,C,FALSE
1986,F,Elayne,13,7.05E-06,E,TRUE
1931,M,Theresa,21,1.96E-05,T,FALSE
1969,F,Marchelle,48,2.72E-05,M,FALSE
1952,F,Odella,7,3.68E-06,O,TRUE
1992,F,Cambria,60,2.99E-05,C,FALSE
1880,F,Clyda,6,6.15E-05,C,FALSE
1980,F,Lorrina,7,3.93E-06,L,FALSE
1887,M,Ferdinand,43,0.00039337,F,FALSE
1997,F,Kamali,5,2.62E-06,K,FALSE
2012,F,Julee,14,7.23E-06,J,FALSE
2009,F,Allahna,6,2.97E-06,A,TRUE
2001,M,Juandaniel,10,4.84E-06,J,FALSE
1998,F,Shalea,14,7.22E-06,S,FALSE
2008,F,Nicky,12,5.77E-06,N,FALSE
1991,M,Jed,75,3.54E-05,J,FALSE
1971,M,Harvey,495,0.00027222,H,FALSE
1944,F,Sharlene,172,0.00012587,S,FALSE
1990,F,Keyona,102,4.97E-05,K,FALSE
1934,F,Gladys,3612,0.00333757,G,FALSE
1953,M,Wenceslao,10,5.00E-06,W,FALSE
1932,F,Patrica,55,4.97E-05,P,FALSE
1993,M,Eric,14541,0.00704178,E,TRUE
1924,F,Karen,59,4.55E-05,K,FALSE
2011,F,Jaydeen,6,3.10E-06,J,FALSE
1989,F,Kindra,121,6.08E-05,K,FALSE
2005,F,Liza,116,5.72E-05,L,FALSE
1904,F,Dorris,23,7.87E-05,D,FALSE
1984,M,Bradon,34,1.81E-05,B,FALSE
1978,M,Delvon,16,9.36E-06,D,FALSE
1942,F,Glenys,12,8.63E-06,G,FALSE
1963,F,Briggett,6,3.02E-06,B,FALSE
1980,F,Janalee,13,7.30E-06,J,FALSE
1998,F,Kadrian,5,2.58E-06,K,FALSE
2002,F,Aniesa,9,4.56E-06,A,TRUE
1904,M,Silvester,5,3.61E-05,S,FALSE
1968,F,Letina,5,2.92E-06,L,FALSE
2003,M,Yousuf,36,1.71E-05,Y,FALSE
1992,M,Tremel,10,4.77E-06,T,FALSE
2000,M,Casyn,5,2.40E-06,C,FALSE
2004,F,Eugenie,6,2.98E-06,E,TRUE
1947,F,Trudie,58,3.19E-05,T,FALSE
1937,F,Mavis,452,0.00041025,M,FALSE
2001,F,Faisa,6,3.03E-06,F,FALSE
1951,F,Earnstine,6,3.25E-06,E,TRUE
2001,M,Jeron,79,3.82E-05,J,FALSE
1921,M,Birdie,7,6.15E-06,B,FALSE
2007,F,Janique,14,6.62E-06,J,FALSE
1985,F,Gretchen,451,0.00024432,G,FALSE
2011,M,Zaevian,5,2.46E-06,Z,FALSE
1999,F,Haliey,10,5.14E-06,H,FALSE
1931,F,Merlin,15,1.36E-05,M,FALSE
1980,F,Celica,18,1.01E-05,C,FALSE
1938,F,Leetta,17,1.49E-05,L,FALSE
1982,F,Deloria,5,2.76E-06,D,FALSE
1968,F,Kylie,8,4.68E-06,K,FALSE
2011,F,Braxtyn,20,1.03E-05,B,FALSE
1963,M,Merrell,5,2.42E-06,M,FALSE
1940,M,Glyn,22,1.86E-05,G,FALSE
1996,F,Dierra,27,1.41E-05,D,FALSE
2010,M,Rami,85,4.14E-05,R,FALSE
1898,M,Percy,155,0.00117332,P,FALSE
1953,M,Yosef,8,4.00E-06,Y,FALSE
2001,M,Johnanthony,20,9.67E-06,J,FALSE
1984,F,Dezerae,5,2.77E-06,D,FALSE
2014,M,Preston,2726,0.00133341,P,FALSE
1997,F,Maili,12,6.29E-06,M,FALSE
2002,F,Skyeler,6,3.04E-06,S,FALSE
1936,F,Deborah,300,0.00027842,D,FALSE
1993,F,Whitley,206,0.00010451,W,FALSE
1988,M,Vong,7,3.50E-06,V,FALSE
1929,F,Rosalva,7,6.05E-06,R,FALSE
1954,M,Colbert,17,8.22E-06,C,FALSE
1980,M,Stylianos,5,2.70E-06,S,FALSE
1949,F,Daphene,7,3.99E-06,D,FALSE
1919,M,Culver,7,6.89E-06,C,FALSE
1913,F,Annamarie,8,1.22E-05,A,TRUE
1995,M,Garreth,13,6.46E-06,G,FALSE
2001,F,Aleia,51,2.58E-05,A,TRUE
1904,M,Toney,10,7.22E-05,T,FALSE
2003,F,Priscila,233,0.00011619,P,FALSE
1913,M,Lorain,5,9.32E-06,L,FALSE
1995,M,Vasilios,22,1.09E-05,V,FALSE
1960,M,Jeffrey,28831,0.01331258,J,FALSE
1937,M,Linda,19,1.74E-05,L,FALSE
2015,F,Jeleah,6,3.08E-06,J,FALSE
2002,F,Bekah,8,4.05E-06,B,FALSE
1952,F,Louvinia,7,3.68E-06,L,FALSE
1992,M,Amit,63,3.00E-05,A,TRUE
1920,M,Bryce,115,0.00010447,B,FALSE
1944,M,Eleuterio,11,7.92E-06,E,TRUE
2007,F,Leylany,9,4.26E-06,L,FALSE
2002,F,Tasharia,6,3.04E-06,T,FALSE
1992,F,Ravin,41,2.05E-05,R,FALSE
1994,M,Markus,396,0.00019431,M,FALSE
1984,M,Byan,10,5.33E-06,B,FALSE
1994,F,Djenne,8,4.10E-06,D,FALSE
2008,F,Jessalyn,95,4.57E-05,J,FALSE
1888,F,Florene,5,2.64E-05,F,FALSE
1904,F,Evangeline,48,0.00016414,E,TRUE
2008,F,Bailie,67,3.22E-05,B,FALSE
1960,F,Beverlee,35,1.68E-05,B,FALSE
1946,F,Devonia,5,3.10E-06,D,FALSE
2010,M,Saeed,56,2.73E-05,S,FALSE
1962,F,Korrine,10,4.93E-06,K,FALSE
2011,F,Vylette,6,3.10E-06,V,FALSE
1979,F,Mindy,3711,0.00215364,M,FALSE
1994,F,Geana,7,3.59E-06,G,FALSE
1917,M,Samie,13,1.36E-05,S,FALSE
2005,F,Kristyn,80,3.94E-05,K,FALSE
1967,F,Steffanie,62,3.61E-05,S,FALSE
1956,F,Luisa,69,3.35E-05,L,FALSE
2003,F,Stori,10,4.99E-06,S,FALSE
1963,M,Cranford,5,2.42E-06,C,FALSE
2011,F,Amayiah,13,6.72E-06,A,TRUE
2004,F,Esha,101,5.01E-05,E,TRUE
1997,F,Terika,16,8.38E-06,T,FALSE
1973,M,Nicole,59,3.66E-05,N,FALSE
2006,M,Hill,5,2.28E-06,H,FALSE
1880,M,Alvah,18,0.00015203,A,TRUE
1971,F,Lasharon,7,3.99E-06,L,FALSE
1991,F,Melissia,14,6.89E-06,M,FALSE
2009,M,Rhett,373,0.00017603,R,FALSE
1971,F,Keturah,19,1.08E-05,K,FALSE
1989,M,Jered,135,6.44E-05,J,FALSE
1923,F,Lear,17,1.36E-05,L,FALSE
1956,F,Mercedes,188,9.13E-05,M,FALSE
1986,F,Tracia,9,4.88E-06,T,FALSE
1986,F,Britani,62,3.36E-05,B,FALSE
2006,M,Arron,77,3.52E-05,A,TRUE
1995,F,Yulisa,7,3.64E-06,Y,FALSE
1995,F,Saydie,9,4.68E-06,S,FALSE
1956,F,Marvel,45,2.19E-05,M,FALSE
1939,F,Marvell,8,7.05E-06,M,FALSE
1986,F,Regina,1269,0.00068779,R,FALSE
1924,F,Imojean,13,1.00E-05,I,TRUE
1989,M,August,152,7.25E-05,A,TRUE
2005,M,Jalyn,108,5.08E-05,J,FALSE
1919,F,Natalie,520,0.00044269,N,FALSE
1931,F,Dorita,7,6.34E-06,D,FALSE
1970,F,Keischa,5,2.73E-06,K,FALSE
1943,F,Juel,7,4.88E-06,J,FALSE
1994,F,Erina,22,1.13E-05,E,TRUE
1896,F,Arrie,22,8.73E-05,A,TRUE
1954,F,Selia,8,4.02E-06,S,FALSE
1917,M,Milt,5,5.21E-06,M,FALSE
1960,M,Jordan,137,6.33E-05,J,FALSE
1986,F,Jeanna,197,0.00010677,J,FALSE
1957,F,Willa,168,8.01E-05,W,FALSE
2004,M,Teron,15,7.10E-06,T,FALSE
1929,F,Hatty,6,5.18E-06,H,FALSE
1898,F,Jannie,78,0.00028452,J,FALSE
1973,F,Jacqueline,3500,0.0022522,J,FALSE
2001,M,Shem,6,2.90E-06,S,FALSE
2011,F,Alajiah,7,3.62E-06,A,TRUE
1971,F,Trinity,29,1.66E-05,T,FALSE
2006,F,Carolynne,7,3.35E-06,C,FALSE
1953,F,Fayetta,38,1.97E-05,F,FALSE
1943,F,Alice,7648,0.0053286,A,TRUE
2016,F,Azlynn,65,3.37E-05,A,TRUE
2009,F,Anabia,5,2.47E-06,A,TRUE
2000,F,Anais,181,9.07E-05,A,TRUE
1978,F,Makeshia,11,6.69E-06,M,FALSE
1965,F,Madelyn,115,6.29E-05,M,FALSE
1943,F,Joyice,10,6.97E-06,J,FALSE
2000,F,Quantasia,10,5.01E-06,Q,FALSE
1889,F,Bell,55,0.00029067,B,FALSE
2015,F,Sofya,11,5.65E-06,S,FALSE
1999,M,Giovannie,23,1.13E-05,G,FALSE
1965,F,Jeneen,10,5.47E-06,J,FALSE
2013,F,Shiphrah,5,2.60E-06,S,FALSE
1993,M,Germany,8,3.87E-06,G,FALSE
2010,F,Raylie,22,1.12E-05,R,FALSE
1942,M,Ansel,13,9.23E-06,A,TRUE
2006,F,Aryiana,17,8.14E-06,A,TRUE
1906,F,Allean,14,4.47E-05,A,TRUE
2007,M,Rion,38,1.72E-05,R,FALSE
1915,F,Tresa,12,1.17E-05,T,FALSE
1952,M,Nestor,31,1.57E-05,N,FALSE
2000,F,Jamaya,84,4.21E-05,J,FALSE
1993,M,Camilo,64,3.10E-05,C,FALSE
1967,F,Treena,12,6.99E-06,T,FALSE
1954,M,Lary,44,2.13E-05,L,FALSE
1963,F,Kaylyn,15,7.55E-06,K,FALSE
1981,F,Lynnsey,18,1.01E-05,L,FALSE
1997,M,Torris,7,3.50E-06,T,FALSE
1950,M,Wendy,9,4.95E-06,W,FALSE
1936,F,Hessie,13,1.21E-05,H,FALSE
2002,F,Vianni,6,3.04E-06,V,FALSE
1984,F,Alyson,464,0.00025736,A,TRUE
1958,M,Alston,9,4.18E-06,A,TRUE
1974,F,Wynona,22,1.41E-05,W,FALSE
1925,F,Encarnacion,11,8.71E-06,E,TRUE
2006,F,Zaide,5,2.39E-06,Z,FALSE
1995,F,Lora,154,8.02E-05,L,FALSE
2000,F,Chynia,9,4.51E-06,C,FALSE
1961,M,Mary,167,7.75E-05,M,FALSE
2013,F,Loralie,26,1.35E-05,L,FALSE
2010,F,Logen,5,2.55E-06,L,FALSE
1915,F,Rinda,8,7.81E-06,R,FALSE
1950,F,Blanchie,13,7.39E-06,B,FALSE
2011,M,Saulo,18,8.87E-06,S,FALSE
1978,M,Duy,9,5.27E-06,D,FALSE
1913,M,Randall,97,0.00018089,R,FALSE
1952,F,Johnnetta,5,2.63E-06,J,FALSE
1991,F,Aneka,12,5.90E-06,A,TRUE
2013,M,Hamin,5,2.48E-06,H,FALSE
2007,F,Feryal,5,2.36E-06,F,FALSE
1993,F,Yasmen,9,4.57E-06,Y,FALSE
2002,F,Araina,10,5.07E-06,A,TRUE
2013,F,Siniya,7,3.64E-06,S,FALSE
2001,M,Eason,19,9.19E-06,E,TRUE
1955,F,Juline,9,4.49E-06,J,FALSE
2009,M,Julyen,6,2.83E-06,J,FALSE
1910,F,Odeal,7,1.67E-05,O,TRUE
2017,M,Zandon,11,5.60E-06,Z,FALSE
2007,F,Brea,169,7.99E-05,B,FALSE
1960,F,Mychelle,6,2.88E-06,M,FALSE
1988,F,Dyani,5,2.60E-06,D,FALSE
1947,M,Elward,8,4.31E-06,E,TRUE
1911,M,Jettie,6,2.49E-05,J,FALSE
1985,F,Vanessamarie,7,3.79E-06,V,FALSE
1956,F,Willa,185,8.98E-05,W,FALSE
2004,F,Keyairra,7,3.47E-06,K,FALSE
1986,M,Alim,8,4.16E-06,A,TRUE
2013,M,Hisham,23,1.14E-05,H,FALSE
1999,M,Marcio,9,4.42E-06,M,FALSE
1883,F,Ines,5,4.17E-05,I,TRUE
1932,F,Asako,8,7.23E-06,A,TRUE
1916,M,Steward,10,1.08E-05,S,FALSE
1923,M,Ervan,13,1.15E-05,E,TRUE
1921,M,Reford,6,5.27E-06,R,FALSE
2011,F,Yuriana,18,9.30E-06,Y,FALSE
2007,F,Dioselin,7,3.31E-06,D,FALSE
2011,F,Abbagale,6,3.10E-06,A,TRUE
2013,M,Brilyn,5,2.48E-06,B,FALSE
1980,F,Gretel,15,8.43E-06,G,FALSE
1912,F,Adria,6,1.02E-05,A,TRUE
1956,F,Arlyne,13,6.31E-06,A,TRUE
1931,F,Arietta,6,5.44E-06,A,TRUE
2003,F,Blakeley,13,6.48E-06,B,FALSE
1992,F,Latreece,6,2.99E-06,L,FALSE
1996,F,Dominika,21,1.10E-05,D,FALSE
1965,F,Roshan,7,3.83E-06,R,FALSE
1981,F,Amel,5,2.80E-06,A,TRUE
2000,F,Keyauna,5,2.51E-06,K,FALSE
1930,F,Sofie,7,6.00E-06,S,FALSE
2009,F,Niara,46,2.27E-05,N,FALSE
1990,F,Sheliah,5,2.43E-06,S,FALSE
2012,F,Yeilin,19,9.81E-06,Y,FALSE
1981,F,Celena,91,5.09E-05,C,FALSE
1997,M,Matteo,106,5.31E-05,M,FALSE
1994,M,Gino,243,0.00011924,G,FALSE
2009,M,Kaleo,47,2.22E-05,K,FALSE
1913,M,Eric,109,0.00020326,E,TRUE
2015,M,Ander,132,6.48E-05,A,TRUE
1980,F,Caitrin,9,5.06E-06,C,FALSE
1956,F,Amey,6,2.91E-06,A,TRUE
1959,F,Radonna,9,4.33E-06,R,FALSE
2006,F,Kyrha,5,2.39E-06,K,FALSE
1959,F,Mildred,1265,0.00060861,M,FALSE
1925,M,Erskine,38,3.30E-05,E,TRUE
1910,F,Annabel,45,0.00010726,A,TRUE
2002,M,Viliami,10,4.84E-06,V,FALSE
1925,F,Vernia,29,2.30E-05,V,FALSE
2002,M,Eashan,8,3.87E-06,E,TRUE
2016,M,Jassiah,25,1.24E-05,J,FALSE
1925,F,Fronie,13,1.03E-05,F,FALSE
1920,F,Cletis,14,1.13E-05,C,FALSE
1923,M,Garner,33,2.91E-05,G,FALSE
1891,F,Babe,5,2.54E-05,B,FALSE
1968,F,Jewell,64,3.74E-05,J,FALSE
1985,M,Fredrick,505,0.0002625,F,FALSE
2016,M,Madelyn,5,2.48E-06,M,FALSE
2003,F,Tajanique,5,2.49E-06,T,FALSE
1996,M,Kal,10,4.99E-06,K,FALSE
2016,F,Alison,969,0.00050248,A,TRUE
1953,M,Ulysee,11,5.50E-06,U,TRUE
1883,F,Camille,11,9.16E-05,C,FALSE
1989,F,Virginie,5,2.51E-06,V,FALSE
1977,F,Dedrick,5,3.04E-06,D,FALSE
1905,F,Inis,6,1.94E-05,I,TRUE
1907,M,Jason,9,5.68E-05,J,FALSE
1990,F,Libby,103,5.02E-05,L,FALSE
1922,F,Rosamond,99,7.94E-05,R,FALSE
1942,F,Louvina,6,4.32E-06,L,FALSE
1985,F,Lamekia,5,2.71E-06,L,FALSE
1979,F,Madelynn,6,3.48E-06,M,FALSE
1990,F,Blaise,16,7.79E-06,B,FALSE
1976,F,Bettye,7,4.45E-06,B,FALSE
1999,M,Olivia,18,8.83E-06,O,TRUE
2009,M,Mikeal,35,1.65E-05,M,FALSE
1911,F,Arzella,6,1.36E-05,A,TRUE
1958,M,Estel,12,5.57E-06,E,TRUE
1988,F,Codie,64,3.33E-05,C,FALSE
1996,F,Azalia,21,1.10E-05,A,TRUE
2009,F,Aylene,16,7.91E-06,A,TRUE
1983,F,Dawnetta,11,6.15E-06,D,FALSE
1990,M,Donel,8,3.72E-06,D,FALSE
1941,F,Fronnie,6,4.82E-06,F,FALSE
1912,M,Howard,3212,0.00711474,H,FALSE
2006,F,Jadalee,14,6.70E-06,J,FALSE
1977,M,Davied,5,2.92E-06,D,FALSE
1976,F,Nadeen,10,6.36E-06,N,FALSE
2016,M,Michai,13,6.44E-06,M,FALSE
1923,M,Celia,6,5.30E-06,C,FALSE
1924,F,Salena,10,7.72E-06,S,FALSE
1982,M,Arlen,34,1.80E-05,A,TRUE
1999,M,Quantrel,5,2.45E-06,Q,FALSE
1947,M,Nehemiah,10,5.38E-06,N,FALSE
1979,M,Verlin,10,5.58E-06,V,FALSE
2003,M,Holten,7,3.33E-06,H,FALSE
2008,F,Sukaina,8,3.84E-06,S,FALSE
1944,M,Fredrick,736,0.00052989,F,FALSE
1921,F,Roxana,16,1.25E-05,R,FALSE
1937,F,Aaron,5,4.54E-06,A,TRUE
1988,F,Charis,48,2.50E-05,C,FALSE
1988,F,Kyrstal,6,3.12E-06,K,FALSE
2003,F,Arooj,7,3.49E-06,A,TRUE
1969,F,Richelle,281,0.00015941,R,FALSE
